property_name,lat,lon,loc1,loc2,loc3,loc4
Nhà Thuốc FPT Long Châu,10.794404,106.6510009,114 Trường Chinh,Phường 12,Tân Bình,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc Thanh Phương Lộc,10.764267,106.664524,236 Ngô Quyền,Phường 8,Quận 10,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.7714395,106.6741862,207 Đường 3/2,Phường 11,Quận 10,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.7381239,106.658339,193 Đường Bùi Minh Trực,Phường 5,Quận 8,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà thuốc Long Châu 154,10.8043666,106.6987255,68 Huỳnh Đình Hai,Phường 14,Bình Thạnh,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.762157,106.69358299999999,158A Cô Giang,Phường Cô Giang,Quận 1,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.79055,106.688396,411 Hai Bà Trưng,Phường 8,Quận 3,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.7660662,106.6963396,580 Cô Bắc,Phường Cầu Ông Lãnh,Quận 1,"Thành phố Hồ Chí Minh 700000, Vietnam"
Công Ty Cổ Phần Dược Phẩm Fpt Long Châu,10.7900645,106.6888008,381 Hai Bà Trưng,Phường 8,Quận 3,"Thành phố Hồ Chí Minh, Vietnam"
Nhà Thuốc Long Châu,10.768863399999999,106.6526908,7 Lê Đại Hành,Phường 15,Quận 11,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.746513,106.685846,114 Nguyễn Thị Tần,Phường 2,Quận 8,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.7451247,106.7294302,489 Huỳnh Tấn Phát,Bình Thuận,Quận 7,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.7837851,106.67085189999999,424 Cách Mạng Tháng Tám,Phường 10,Quận 3,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà thuốc Long Châu,10.7566773,106.65808899999999,37D Thuận Kiều,Phường 12,Quận 5,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc Long Châu 9,10.799043399999999,106.6374592,1010 Âu Cơ,Phường 14,Tân Bình,"Thành phố Hồ Chí Minh, Vietnam"
Nhà Thuốc FPT Long Châu,10.885388899999999,106.7287123,1026-1026A Tỉnh Lộ 43,P,Thủ Đức,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà thuốc Long Châu,10.794558,106.663466,85 Phạm Văn Hai,Phường 3,Tân Bình,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà thuốc Long Châu,10.768613799999999,106.6793344,174 Nguyễn Thiện Thuật,Phường 3,Quận 3,"Thành phố Hồ Chí Minh 700000, Vietnam"
